PIN2,HOUSE_UNIT,PROPERTY_TYPE
10253220300000,1,1
10253220310000,1,1
10253220320000,1,1
10253220330000,1,1
10253220340000,1,1
10253220350000,1,1
10253220360000,1,1
10253220370000,1,1
10253220390000,1,1
10253220400000,1,1
10253220410000,1,1
10253220420000,1,1
10253230010000,1,1
10253230020000,1,1
10253230030000,1,1
10253230040000,1,1
10253230050000,1,1
10253230060000,1,1
10253230070000,1,1
10253230080000,1,1
10253230090000,1,1
10253230100000,1,1
10253230110000,1,1
10253230120000,1,1
10253230130000,1,1
10253230140000,1,1
10253230150000,1,1
10253230160000,1,1
10253230170000,1,1
10253230180000,1,1
10253230210000,1,1
10253230220000,1,1
10253230230000,1,1
10253230240000,1,1
10253230250000,1,1
10253230260000,1,1
10253230270000,1,1
10253230280000,1,1
10253230290000,1,1
10253230300000,1,1
10253230310000,1,1
10253230320000,1,1
10253230330000,1,1
10253230340000,1,1
10253230350000,1,1
10253230360000,1,1
10253230370000,1,1
10253230380000,1,1
10253230390000,1,1
10253230400000,1,1
10253230410000,1,1
10253240010000,1,1
10253240020000,1,1
10253240030000,1,1
10253240040000,1,1
10253240050000,1,1
10253240060000,1,1
10253240070000,1,1
10253240080000,1,1
10253240090000,1,1
10253240100000,1,1
10253240110000,0,5
10253240120000,1,1
10253240130000,1,1
10253240140000,1,1
10253240150000,1,1
10253240160000,1,1
10253240170000,1,1
10253240180000,1,1
10253240190000,1,1
10253240200000,1,1
10253240210000,1,1
10253240220000,2,3
10253240230000,1,1
10253240240000,1,1
10253240250000,1,1
10253240260000,1,1
10253240270000,1,1
10253240280000,1,1
10253240380000,1,1
10253240390000,1,1
10253240400000,1,1
10253240410000,1,1
10253240420000,1,1
10253240430000,1,1
10253240440000,1,1
10253240450000,1,1
10253250010000,1,1
10253250020000,1,1
10253250030000,1,1
10253250040000,1,1
10253250090000,1,1
10253250100000,1,1
10253250110000,1,1
10253250120000,1,1
10253250130000,1,1
10253250140000,1,1
10253250150000,1,1
10253250160000,1,1
10253250170000,1,1
10253250180000,1,1
10253250190000,1,1
10253250200000,1,1
10253250210000,1,1
10253250220000,1,1
10253250230000,1,1
10253250240000,1,1
10253250250000,1,1
10253250260000,1,1
10253250270000,1,1
10253250280000,1,1
10253250290000,1,1
10253250300000,1,1
10253250310000,0,5
10253250320000,1,1
10253260010000,1,1
10253260020000,1,1
10253260030000,1,1
10253260040000,1,1
10253260050000,1,1
10253260060000,1,1
10253260070000,1,1
10253260080000,1,1
10253260090000,1,1
10253260100000,1,1
10253260110000,1,1
10253260120000,1,1
10253260130000,1,1
10253260140000,1,1
10253260150000,1,1
10253260160000,1,1
10253260170000,1,1
10253260210000,1,1
10253260220000,1,1
10253260230000,1,1
10253260240000,1,1
10253260250000,1,1
10253260260000,1,1
10253260350000,1,1
10253260360000,1,1
10253260370000,1,1
10253260420000,1,1
10253260430000,1,1
10253260440000,1,1
10253260450000,1,1
10253260460000,1,1
10253260470000,1,1
10253270010000,1,1
10253270020000,1,1
10253270030000,1,1
10253270040000,1,1
10253270050000,1,1
10253270060000,1,1
10253270070000,1,1
10253270080000,1,1
10253270090000,1,1
10253270170000,1,1
10253270180000,1,1
10253270190000,1,1
10253270200000,1,1
10253270210000,1,1
10253270230000,1,1
10253270240000,1,1
10253270250000,1,1
10253270260000,1,1
10253270270000,1,1
10253270280000,1,1
10253270290000,1,1
10253270300000,1,1
10253270310000,1,1
